SKU,Name,Category,Brand,Seller,Color,Balance,Balance FBS,Comments,Final price,Max price,Min price,Average price,Sales,Revenue,Revenue potential,Revenue average,Lost profit,Lost profit percent,URL,Thumb,Days in stock,Days with sales,Average if in stock,Rating,Basic Sale,Basic Sale Price,Promo Sale,Base price,SPP,SPP Price,FBS,Subject ID,Category Position,Categories Last Count,Sales Per Day Average,Country,Gender,First Date,First Comment Date,Pics Count,Has 3D,Hax Video,Comments Valuation,Card Rating,Subject,Purchase,Purchase After Return,13.02.2023 Sales,14.02.2023 Sales,15.02.2023 Sales,16.02.2023 Sales,17.02.2023 Sales,18.02.2023 Sales,19.02.2023 Sales,20.02.2023 Sales,21.02.2023 Sales,22.02.2023 Sales,23.02.2023 Sales,24.02.2023 Sales,25.02.2023 Sales,26.02.2023 Sales,27.02.2023 Sales,28.02.2023 Sales,01.03.2023 Sales,02.03.2023 Sales,03.03.2023 Sales,04.03.2023 Sales,05.03.2023 Sales,06.03.2023 Sales,07.03.2023 Sales,08.03.2023 Sales,09.03.2023 Sales,10.03.2023 Sales,11.03.2023 Sales,12.03.2023 Sales,13.03.2023 Sales,14.03.2023 Sales,13.02.2023 Revenue,14.02.2023 Revenue,15.02.2023 Revenue,16.02.2023 Revenue,17.02.2023 Revenue,18.02.2023 Revenue,19.02.2023 Revenue,20.02.2023 Revenue,21.02.2023 Revenue,22.02.2023 Revenue,23.02.2023 Revenue,24.02.2023 Revenue,25.02.2023 Revenue,26.02.2023 Revenue,27.02.2023 Revenue,28.02.2023 Revenue,01.03.2023 Revenue,02.03.2023 Revenue,03.03.2023 Revenue,04.03.2023 Revenue,05.03.2023 Revenue,06.03.2023 Revenue,07.03.2023 Revenue,08.03.2023 Revenue,09.03.2023 Revenue,10.03.2023 Revenue,11.03.2023 Revenue,12.03.2023 Revenue,13.03.2023 Revenue,14.03.2023 Revenue,13.02.2023 Stocks,14.02.2023 Stocks,15.02.2023 Stocks,16.02.2023 Stocks,17.02.2023 Stocks,18.02.2023 Stocks,19.02.2023 Stocks,20.02.2023 Stocks,21.02.2023 Stocks,22.02.2023 Stocks,23.02.2023 Stocks,24.02.2023 Stocks,25.02.2023 Stocks,26.02.2023 Stocks,27.02.2023 Stocks,28.02.2023 Stocks,01.03.2023 Stocks,02.03.2023 Stocks,03.03.2023 Stocks,04.03.2023 Stocks,05.03.2023 Stocks,06.03.2023 Stocks,07.03.2023 Stocks,08.03.2023 Stocks,09.03.2023 Stocks,10.03.2023 Stocks,11.03.2023 Stocks,12.03.2023 Stocks,13.03.2023 Stocks,14.03.2023 Stocks
59154199,Купальник раздельный с высокой талией,Женщинам/Пляжная мода/Купальники/Раздельный купальник,Sheldi,ИП Шеленина Юлия Анатольевна,"голубой,белый",459,0,266,4435,4483,4435,4439.1937,950,4217234,"4362655,8621","140574,4667","145421,8621","3,3333",https://www.wildberries.ru/catalog/59154199/detail.aspx,https://basket-04.wb.ru/vol591/part59154/59154199/images/c246x328/1.jpg,29,29,"32,7586",5,6,4435,0,4719,24,3371,1,89,1,2,"31,6667",Китай,Женский,2022-01-22,2022-02-24,7,0,0,"4,6",80,Белье / Раздельный купальник,42,38,34,27,22,29,25,24,33,29,31,34,28,15,27,42,38,42,31,26,45,47,32,41,27,34,59,42,6,0,32,48,152422,121041,98626,128615,110875,106440,146355,128615,137485,150790,124180,66525,119745,186270,168530,186270,137485,115310,199575,208445,141920,181835,119745,150790,261665,186270,26610,0,141920,212880,740,714,695,672,644,622,607,577,548,520,511,543,520,490,455,419,391,667,623,582,554,517,490,460,404,370,471,0,503,459
28753583,Слитный купальник женский утягивающий спорт большие размеры,Женщинам/Пляжная мода/Купальники/Слитный купальник,Pantacolla,ИП Суряднов Михаил Андреевич,черный,701,0,1945,2994,3120,2994,3031.007,1144,3467472,3467472,"115582,4",0,0,https://www.wildberries.ru/catalog/28753583/detail.aspx,https://basket-02.wb.ru/vol287/part28753/28753583/images/c246x328/1.jpg,30,30,"38,1333",5,40,2994,0,4990,23,2305,1,90,8,2,"38,1333",Россия,Женский,2021-06-08,2021-06-20,8,0,1,"4,5",100,Белье / Слитный купальник,46,41,45,45,64,38,24,25,28,36,31,24,44,27,39,39,38,64,30,55,45,48,47,20,18,33,38,34,31,49,31,54,140400,140400,199680,118560,74880,78000,87360,112320,96720,71856,131736,80838,116766,116766,113772,191616,89820,164670,134730,143712,140718,59880,53892,98802,113772,101796,92814,146706,92814,161676,343,318,259,225,283,260,238,259,316,298,262,247,225,192,218,163,350,304,343,312,281,496,501,483,669,651,645,616,739,701
111391697,Купальник слитный женский корректирующий для бассейна,Женщинам/Пляжная мода/Купальники/Слитный купальник,Delyamer swim,ИП Медведев А Л,черный,718,1,502,2795,3055,2210,2609.1981,1166,3042325,3042325,"101410,8333",0,0,https://www.wildberries.ru/catalog/111391697/detail.aspx,https://basket-07.wb.ru/vol1113/part111391/111391697/images/c246x328/1.jpg,30,30,"38,8667",5,57,2795,0,6500,23,2152,1,90,15,2,"38,8667",Китай,Женский,2022-07-02,2022-07-05,5,0,1,"4,5",90,Белье / Слитный купальник,46,41,43,30,43,32,16,22,42,35,53,35,55,44,43,31,51,40,38,33,25,22,107,66,56,69,49,12,19,17,10,28,114595,79950,114595,85280,42640,58630,111930,93275,141245,95550,150150,120120,117390,84630,139230,109200,103740,90090,68250,60060,236470,145860,123760,152490,149695,36660,58045,51935,28600,78260,201,181,142,113,108,165,126,461,401,371,324,282,308,441,401,376,353,409,395,469,718,652,586,518,570,598,597,690,716,718
50052655,Купальник раздельный женский со шнуровкой,Женщинам/Пляжная мода/Купальники/Раздельный купальник,MIYAMI,ИП Соломянников Дмитрий Евгеньевич,"черный,чернильный",302,1,986,2799,2799,2799,2799.0,1080,3022920,3022920,100764,0,0,https://www.wildberries.ru/catalog/50052655/detail.aspx,https://basket-04.wb.ru/vol500/part50052/50052655/images/c246x328/1.jpg,30,30,36,5,77,2799,0,12170,23,2155,1,89,2,2,36,Россия,Женский,2021-12-02,2020-06-20,7,0,0,"4,5",87,Белье / Раздельный купальник,42,38,38,27,39,40,21,21,36,32,29,39,31,27,37,61,48,50,42,48,36,38,56,28,20,22,21,30,24,57,41,41,106362,75573,109161,111960,58779,58779,100764,89568,81171,109161,86769,75573,103563,170739,134352,139950,117558,134352,100764,106362,156744,78372,55980,61578,58779,83970,67176,159543,114759,114759,214,194,156,115,329,310,278,254,223,190,170,171,431,362,314,266,226,188,316,278,223,191,166,162,145,122,122,379,337,302
110802959,Слитный сплошной закрытый купальник больших размеров,Женщинам/Пляжная мода/Купальники/Слитный купальник,ЛАУРА,ИП Кораблев Николай Алексеевич,черный,1208,0,218,2835,3060,2700,2865.6646,948,2716650,2716650,90555,0,0,https://www.wildberries.ru/catalog/110802959/detail.aspx,https://basket-07.wb.ru/vol1108/part110802/110802959/images/c246x328/1.jpg,30,30,"31,6",5,37,2835,0,4500,23,2182,1,90,10,2,"31,6",Россия,Женский,2022-07-04,2022-07-11,20,0,1,"4,8",80,Белье / Слитный купальник,46,41,71,52,30,22,14,19,30,25,24,21,18,34,33,43,38,40,43,33,32,38,32,21,24,33,37,18,27,43,32,21,191700,140400,91800,67320,42840,58140,91800,76500,73440,64260,55080,96390,93555,121905,107730,113400,121905,93555,90720,107730,90720,59535,68040,93555,104895,51030,76545,121905,90720,59535,1395,1348,1316,1304,1292,1272,1367,1381,1469,1459,1445,1416,1508,1469,1431,1386,1350,1321,1290,1258,1233,1229,1210,1187,1162,1152,1270,1242,1216,1208
53006134,"Слитный Купальник женский на пляж, сплошной спортивный для бассейна утягивающий, большие размеры",Женщинам/Пляжная мода/Купальники/Слитный купальник,BUSTOGRAM SWIM,ООО АМА,"черный,чернильный,иссиня-черный,горький шоколад,графит,прозрачный",414,0,1154,1975,1975,1975,1975.0,1283,2533925,2533925,"84464,1667",0,0,https://www.wildberries.ru/catalog/53006134/detail.aspx,https://basket-04.wb.ru/vol530/part53006/53006134/images/c246x328/1.jpg,30,30,"42,7667",5,56,1975,0,4490,23,1521,1,90,9,2,"42,7667",Россия,Женский,2021-12-17,2021-12-20,13,0,1,"4,8",100,Белье / Слитный купальник,46,41,54,30,50,44,30,37,38,19,43,20,17,24,29,42,30,45,35,42,67,40,30,48,39,61,54,41,59,72,49,94,106650,59250,98750,86900,59250,73075,75050,37525,84925,39500,33575,47400,57275,82950,59250,88875,69125,82950,132325,79000,59250,94800,77025,120475,106650,80975,116525,142200,96775,185650,157,134,84,171,139,158,153,206,164,440,650,635,652,614,588,611,597,539,478,446,459,445,415,361,502,461,409,543,496,414
13437098,Слитный Купальник,Женщинам/Пляжная мода/Купальники/Слитный купальник,KICKERS,ИП Павлова Марина Алексеевна,"ярко-розовый,черный",649,2,1972,3066,3099,3066,3084.2693,802,2473584,2473584,"82452,8",0,0,https://www.wildberries.ru/catalog/13437098/detail.aspx,https://basket-01.wb.ru/vol134/part13437/13437098/images/c246x328/1.jpg,30,30,"26,7333",5,69,3066,0,9893,24,2330,1,90,19,2,"26,7333",Россия,Женский,2020-07-12,2020-07-16,8,0,0,"4,7",83,Белье / Слитный купальник,46,41,30,28,24,25,21,31,27,19,14,17,18,19,23,21,35,32,30,30,33,33,30,25,18,33,38,32,36,33,23,24,92970,86772,74376,77475,65079,96069,83673,58881,43386,52683,55782,58881,71277,65079,108465,99168,92970,92970,101178,101178,91980,76650,55188,101178,116508,98112,110376,101178,70518,73584,855,841,824,800,789,764,770,752,746,744,767,758,773,758,727,703,679,667,634,623,664,646,643,619,606,582,556,679,673,649
75391781,Купальник раздельный женский корректирующий бразилиана,Женщинам/Пляжная мода/Купальники/Раздельный купальник,Delyamer swim,ИП Медведев А Л,оранжевый,325,1,1336,3090,3090,2111,2513.5949,980,2463323,"2548265,1724","82110,7667","84942,1724","3,3333",https://www.wildberries.ru/catalog/75391781/detail.aspx,https://basket-05.wb.ru/vol753/part75391/75391781/images/c246x328/1.jpg,29,29,"33,7931",5,40,3090,0,5150,24,2348,1,89,5,2,"32,6667",Китай,Женский,2022-04-27,2022-04-13,6,0,1,"4,4",87,Белье / Раздельный купальник,42,38,18,18,33,32,25,20,38,30,23,35,29,93,120,79,75,27,11,28,27,22,0,16,11,49,36,18,13,24,15,15,47268,47268,86658,84032,65650,52520,99788,78780,60398,91910,76154,196323,253320,166769,158325,70902,31724,80752,77868,63448,0,42016,28886,128674,111240,55620,40170,74160,46350,46350,359,352,326,301,281,316,281,409,392,370,346,255,130,120,50,29,34,149,134,133,0,278,280,239,271,270,289,314,320,325
59970270,Раздельный женский купальник для бассейна,Женщинам/Пляжная мода/Купальники/Раздельный купальник,marco swim,ИП Фингерман,черный,388,1,1174,2622,2682,2622,2639.0387,905,2388330,2388330,79611,0,0,https://www.wildberries.ru/catalog/59970270/detail.aspx,https://basket-04.wb.ru/vol599/part59970/59970270/images/c246x328/1.jpg,30,30,"30,1667",4,56,2622,0,5960,23,2019,1,89,4,2,"30,1667",Россия,Женский,2022-02-03,2022-02-25,9,0,0,"4,4",80,Белье / Раздельный купальник,42,38,12,14,26,25,22,28,36,30,24,20,20,20,32,31,29,38,44,35,35,40,36,23,16,48,47,24,36,41,43,30,32184,37548,69732,67050,59004,75096,96552,80460,64368,53640,53640,52440,83904,81282,76038,99636,115368,91770,91770,104880,94392,60306,41952,125856,123234,62928,94392,107502,112746,78660,621,619,625,605,602,582,584,561,549,536,575,564,550,581,557,525,497,469,440,429,399,398,482,442,406,391,362,338,347,388
60788746,Женский купальник слитный закрытый для бассейна новинки 2022 пляжный сплошной спортивный утягивающий,Женщинам/Пляжная мода/Купальники/Слитный купальник,DINARIN,ИП Абраамян Д С,"черный,красный",847,1,300,3595,3595,3091,3478.8571,672,2337792,2337792,"77926,4",0,0,https://www.wildberries.ru/catalog/60788746/detail.aspx,https://basket-04.wb.ru/vol607/part60788/60788746/images/c246x328/1.jpg,30,30,"22,4",5,50,3595,0,7190,24,2732,1,90,24,2,"22,4",Китай,Женский,2022-02-16,2022-02-18,14,0,0,"4,7",97,Белье / Слитный купальник,46,41,18,23,21,27,26,34,29,28,15,21,27,28,22,23,30,24,23,23,13,22,16,13,6,27,21,17,22,35,14,24,55638,71093,64911,83457,89726,117334,100079,96628,51765,72471,93177,96628,77506,81029,107850,86280,82685,82685,46735,79090,57520,46735,21570,97065,75495,61115,79090,125825,50330,86280,681,665,650,630,610,580,555,528,516,496,479,459,442,428,406,385,369,356,352,339,329,331,349,332,324,314,301,273,742,847
